spark.memory.storageFraction,spark.executor.cores,spark.executor.memory,spark.executor.instances,spark.memory.fraction,spark.shuffle.file.buffer,spark.reducer.maxBlocksInFlightPerAddress,spark.default.parallelism,spark.reducer.maxSizeInFlight,spark.executor.memoryOverhead,range,dissimilarity_value,cos_distance,Euclidean_distance,distance
429.0,2.0,7.0,4.0,526.0,0.72,0.79,1829981200.0,49.0,34.0,0.0,0.065,0.966,0.578,25.631
428.0,2.0,7.0,4.0,541.0,0.71,0.8,1837712400.0,48.0,35.0,0.0,0.064,0.97,0.589,25.531
429.0,2.0,7.0,5.0,514.0,0.71,0.78,1806134800.0,49.0,33.0,0.0,0.064,0.965,0.606,24.899
428.0,2.0,7.0,5.0,551.0,0.71,0.79,1795287300.0,48.0,34.0,0.0,0.069,0.972,0.672,21.107
416.0,2.0,7.0,5.0,504.0,0.72,0.77,1766811900.0,50.0,33.0,0.0,0.071,0.953,0.714,18.691
411.0,2.0,7.0,5.0,535.0,0.71,0.77,1775899600.0,49.0,33.0,0.0,0.075,0.962,0.821,15.646
411.0,2.0,7.0,5.0,530.0,0.71,0.75,1741580900.0,49.0,32.0,0.0,0.081,0.933,0.921,12.52
spark.default.parallelism,spark.executor.cores,spark.executor.instances,spark.executor.memory,spark.executor.memoryOverhead,spark.memory.fraction,spark.memory.storageFraction,spark.reducer.maxBlocksInFlightPerAddress,spark.reducer.maxSizeInFlight,spark.shuffle.file.buffer,range,dissimilarity_value,cos_distance,Euclidean_distance,distance
385.0,3.0,7.0,3.0,454.0,0.68,0.54,1096272900.0,35.0,39.0,0.0,0.045,0.994,0.222,100.164
384.0,3.0,7.0,3.0,457.0,0.68,0.54,1099755800.0,35.0,39.0,0.0,0.045,0.995,0.23,95.218
386.0,4.0,7.0,3.0,442.0,0.69,0.53,1073741800.0,34.0,40.0,2.198,0.046,0.995,0.226,94.767
384.0,3.0,7.0,3.0,456.0,0.68,0.54,1115537200.0,35.0,39.0,0.0,0.044,0.993,0.248,91.577
384.0,4.0,7.0,3.0,452.0,0.68,0.53,1074039400.0,35.0,40.0,0.0,0.046,0.994,0.237,91.398
384.0,4.0,7.0,3.0,440.0,0.69,0.53,1073741800.0,33.0,40.0,2.188,0.049,0.995,0.222,91.035
386.0,4.0,7.0,3.0,445.0,0.69,0.53,1090561300.0,33.0,40.0,0.0,0.048,0.994,0.226,90.771
390.0,4.0,7.0,3.0,447.0,0.69,0.54,1091555100.0,33.0,39.0,0.0,0.051,0.994,0.222,88.708
385.0,3.0,7.0,3.0,434.0,0.68,0.53,1085206900.0,33.0,39.0,0.0,0.048,0.994,0.232,88.662
386.0,4.0,7.0,3.0,461.0,0.68,0.54,1098236200.0,34.0,40.0,0.0,0.047,0.993,0.246,86.518
388.0,3.0,7.0,3.0,452.0,0.69,0.53,1107471900.0,33.0,40.0,0.0,0.049,0.993,0.236,85.811
384.0,3.0,7.0,3.0,448.0,0.68,0.53,1097720300.0,33.0,40.0,0.0,0.048,0.993,0.24,85.382
385.0,3.0,7.0,3.0,447.0,0.68,0.53,1073741800.0,34.0,39.0,2.2,0.05,0.994,0.236,84.549
388.0,4.0,7.0,3.0,453.0,0.68,0.54,1073741800.0,34.0,39.0,2.19,0.05,0.993,0.238,83.797
384.0,4.0,7.0,3.0,458.0,0.68,0.54,1074129400.0,34.0,40.0,0.0,0.048,0.993,0.245,83.73
384.0,3.0,7.0,3.0,443.0,0.69,0.53,1073741800.0,34.0,40.0,2.212,0.047,0.993,0.254,83.298
387.0,4.0,7.0,3.0,461.0,0.68,0.54,1107700600.0,34.0,39.0,0.0,0.048,0.994,0.247,82.939
385.0,4.0,7.0,3.0,457.0,0.68,0.54,1073741800.0,34.0,40.0,2.201,0.048,0.993,0.251,82.527
385.0,3.0,7.0,3.0,434.0,0.68,0.53,1073741800.0,33.0,39.0,2.187,0.049,0.994,0.244,82.438
390.0,4.0,7.0,3.0,461.0,0.68,0.54,1084514800.0,35.0,39.0,0.0,0.048,0.993,0.25,82.033
386.0,4.0,7.0,3.0,456.0,0.69,0.53,1075129900.0,34.0,40.0,0.0,0.05,0.993,0.245,81.699
388.0,4.0,7.0,3.0,449.0,0.68,0.53,1085475700.0,32.0,40.0,0.0,0.053,0.994,0.233,80.877
385.0,3.0,7.0,3.0,451.0,0.68,0.53,1097943600.0,34.0,39.0,0.0,0.049,0.992,0.253,80.762
389.0,3.0,7.0,3.0,427.0,0.69,0.53,1124629200.0,32.0,39.0,0.0,0.048,0.992,0.26,79.503
387.0,3.0,7.0,3.0,462.0,0.67,0.55,1127228200.0,34.0,39.0,0.0,0.049,0.994,0.258,79.279
387.0,4.0,7.0,3.0,449.0,0.69,0.53,1073741800.0,33.0,40.0,2.197,0.051,0.993,0.245,79.216
384.0,4.0,7.0,3.0,466.0,0.69,0.54,1096370600.0,34.0,40.0,0.0,0.049,0.992,0.258,78.8
384.0,4.0,7.0,3.0,451.0,0.69,0.53,1073741800.0,35.0,40.0,2.247,0.046,0.992,0.278,77.402
387.0,4.0,7.0,3.0,472.0,0.68,0.54,1100588800.0,35.0,40.0,0.0,0.047,0.991,0.279,76.521
387.0,3.0,7.0,3.0,456.0,0.69,0.54,1122739600.0,32.0,39.0,0.0,0.053,0.993,0.247,76.456
388.0,3.0,7.0,3.0,435.0,0.69,0.53,1084944500.0,32.0,39.0,0.0,0.052,0.993,0.25,76.217
382.0,4.0,7.0,3.0,465.0,0.69,0.54,1093735400.0,34.0,40.0,0.0,0.049,0.992,0.264,76.108
387.0,3.0,7.0,3.0,434.0,0.69,0.53,1085155600.0,32.0,40.0,2.361,0.049,0.993,0.266,75.877
388.0,4.0,7.0,3.0,463.0,0.69,0.54,1087673000.0,34.0,40.0,0.0,0.049,0.991,0.268,75.605
385.0,3.0,7.0,3.0,467.0,0.68,0.54,1108463200.0,34.0,39.0,0.0,0.05,0.992,0.264,75.49
387.0,4.0,7.0,3.0,431.0,0.69,0.52,1073741800.0,33.0,40.0,2.235,0.049,0.994,0.271,75.448
392.0,4.0,7.0,3.0,441.0,0.69,0.53,1073741800.0,33.0,39.0,2.188,0.053,0.994,0.25,74.94
384.0,3.0,7.0,3.0,459.0,0.68,0.53,1087024800.0,34.0,40.0,0.0,0.049,0.991,0.269,74.914
387.0,3.0,7.0,3.0,452.0,0.68,0.54,1136457700.0,33.0,38.0,0.0,0.052,0.993,0.255,74.872
395.0,4.0,7.0,3.0,448.0,0.69,0.53,1073741800.0,34.0,39.0,2.199,0.053,0.993,0.252,74.865
387.0,3.0,7.0,3.0,465.0,0.68,0.53,1094813200.0,34.0,40.0,0.0,0.05,0.992,0.266,74.79
385.0,3.0,7.0,3.0,463.0,0.68,0.54,1096788000.0,33.0,40.0,0.0,0.05,0.992,0.265,74.674
383.0,3.0,7.0,3.0,452.0,0.69,0.53,1080789900.0,33.0,41.0,0.0,0.054,0.993,0.249,74.293
391.0,4.0,7.0,3.0,457.0,0.68,0.54,1073741800.0,34.0,39.0,2.207,0.052,0.992,0.26,74.082
385.0,4.0,7.0,3.0,450.0,0.69,0.53,1073741800.0,34.0,40.0,2.243,0.048,0.992,0.277,73.891
385.0,4.0,7.0,3.0,464.0,0.68,0.54,1090422800.0,34.0,40.0,0.0,0.048,0.991,0.279,73.601
381.0,4.0,7.0,3.0,468.0,0.69,0.54,1080502400.0,35.0,40.0,0.0,0.049,0.991,0.278,73.189
383.0,4.0,7.0,3.0,467.0,0.69,0.54,1095699200.0,35.0,40.0,0.0,0.047,0.99,0.292,72.936
388.0,4.0,7.0,3.0,447.0,0.7,0.53,1073741800.0,33.0,40.0,2.216,0.052,0.993,0.261,72.622
387.0,4.0,7.0,3.0,454.0,0.68,0.53,1073741800.0,34.0,40.0,2.242,0.049,0.992,0.278,72.506
384.0,4.0,7.0,3.0,455.0,0.69,0.53,1073741800.0,33.0,40.0,2.206,0.053,0.992,0.26,72.155
388.0,4.0,7.0,3.0,450.0,0.69,0.53,1073741800.0,33.0,39.0,2.188,0.054,0.993,0.255,71.904
384.0,3.0,7.0,3.0,447.0,0.69,0.52,1073741800.0,34.0,40.0,2.197,0.05,0.992,0.278,71.707
388.0,3.0,7.0,3.0,469.0,0.69,0.55,1110131000.0,34.0,39.0,0.0,0.05,0.991,0.28,71.298
388.0,4.0,7.0,3.0,454.0,0.68,0.53,1073741800.0,34.0,40.0,2.235,0.049,0.992,0.282,71.115
389.0,3.0,7.0,3.0,450.0,0.68,0.54,1109691900.0,32.0,39.0,0.0,0.052,0.992,0.27,71.093
388.0,4.0,7.0,3.0,467.0,0.68,0.54,1080201000.0,34.0,40.0,0.0,0.05,0.991,0.28,70.519
383.0,4.0,7.0,3.0,471.0,0.69,0.54,1103492200.0,34.0,40.0,0.0,0.05,0.991,0.283,70.342
384.0,3.0,7.0,3.0,468.0,0.69,0.54,1089537300.0,34.0,40.0,0.0,0.05,0.99,0.283,70.297
385.0,4.0,7.0,3.0,458.0,0.69,0.53,1085728600.0,33.0,41.0,0.0,0.054,0.992,0.26,70.203
385.0,3.0,7.0,3.0,472.0,0.68,0.54,1126789100.0,34.0,40.0,0.0,0.048,0.99,0.293,70.083
387.0,3.0,7.0,3.0,479.0,0.68,0.55,1126186000.0,35.0,40.0,0.0,0.046,0.991,0.308,69.984
386.0,4.0,7.0,3.0,461.0,0.69,0.54,1073741800.0,33.0,40.0,2.194,0.052,0.991,0.273,69.738
387.0,4.0,7.0,3.0,453.0,0.69,0.53,1073741800.0,34.0,40.0,2.25,0.049,0.992,0.289,69.478
386.0,3.0,7.0,3.0,472.0,0.68,0.55,1086925700.0,35.0,39.0,0.0,0.049,0.99,0.293,69.351
387.0,3.0,7.0,3.0,472.0,0.68,0.55,1116932000.0,36.0,39.0,0.0,0.049,0.992,0.295,69.254
386.0,4.0,7.0,3.0,450.0,0.69,0.53,1073741800.0,33.0,40.0,2.213,0.051,0.992,0.281,68.906
389.0,3.0,7.0,3.0,465.0,0.68,0.55,1092291100.0,34.0,39.0,0.0,0.05,0.99,0.287,68.894
386.0,4.0,7.0,3.0,454.0,0.69,0.53,1073741800.0,32.0,40.0,2.184,0.055,0.992,0.264,68.463
388.0,4.0,7.0,3.0,438.0,0.68,0.52,1073741800.0,33.0,40.0,4.603,0.05,0.993,0.29,68.309
386.0,3.0,7.0,3.0,472.0,0.69,0.55,1134119800.0,34.0,39.0,0.0,0.05,0.992,0.292,67.454
388.0,4.0,7.0,3.0,472.0,0.68,0.54,1091169200.0,34.0,40.0,0.0,0.05,0.99,0.292,67.24
388.0,4.0,7.0,3.0,450.0,0.68,0.53,1073741800.0,33.0,40.0,2.239,0.051,0.992,0.288,67.162
384.0,4.0,7.0,3.0,458.0,0.69,0.53,1073741800.0,34.0,41.0,2.192,0.053,0.991,0.28,67.103
382.0,4.0,7.0,3.0,456.0,0.69,0.53,1074709400.0,33.0,41.0,0.0,0.056,0.992,0.267,66.912
386.0,4.0,7.0,3.0,474.0,0.69,0.55,1088580200.0,35.0,39.0,0.0,0.05,0.99,0.299,66.867
384.0,4.0,7.0,3.0,463.0,0.69,0.53,1093063600.0,33.0,41.0,0.0,0.055,0.991,0.269,66.849
387.0,3.0,7.0,3.0,457.0,0.69,0.53,1086839800.0,33.0,40.0,0.0,0.052,0.991,0.286,66.747
389.0,4.0,7.0,3.0,463.0,0.68,0.54,1085552400.0,33.0,40.0,0.0,0.052,0.991,0.286,66.72
390.0,4.0,7.0,3.0,451.0,0.69,0.53,1073741800.0,32.0,40.0,2.195,0.055,0.992,0.273,65.65
385.0,4.0,7.0,3.0,463.0,0.69,0.53,1081972200.0,33.0,40.0,0.0,0.054,0.991,0.281,65.603
383.0,3.0,7.0,3.0,474.0,0.68,0.55,1092924200.0,36.0,39.0,0.0,0.052,0.991,0.294,65.277
388.0,3.0,7.0,3.0,450.0,0.69,0.53,1073741800.0,32.0,40.0,2.189,0.054,0.992,0.28,64.991
383.0,3.0,7.0,3.0,479.0,0.68,0.55,1102434600.0,34.0,40.0,0.0,0.05,0.989,0.305,64.847
383.0,4.0,7.0,3.0,472.0,0.68,0.54,1128524200.0,33.0,40.0,0.0,0.052,0.991,0.295,64.841
385.0,3.0,7.0,4.0,464.0,0.68,0.55,1117795300.0,35.0,39.0,0.0,0.056,0.994,0.275,64.571
389.0,4.0,7.0,3.0,456.0,0.69,0.54,1081543200.0,32.0,40.0,0.0,0.054,0.991,0.286,64.525
391.0,4.0,7.0,3.0,474.0,0.68,0.55,1117026800.0,36.0,39.0,0.0,0.05,0.991,0.307,64.4
387.0,4.0,7.0,3.0,458.0,0.68,0.53,1073741800.0,33.0,40.0,2.212,0.053,0.991,0.291,64.379
384.0,4.0,7.0,3.0,464.0,0.69,0.53,1091089700.0,33.0,40.0,0.0,0.054,0.99,0.288,64.261
383.0,4.0,7.0,3.0,461.0,0.69,0.53,1073741800.0,34.0,41.0,2.189,0.054,0.991,0.287,64.154
391.0,4.0,7.0,3.0,438.0,0.69,0.52,1073741800.0,33.0,40.0,2.263,0.051,0.993,0.303,63.924
385.0,4.0,7.0,3.0,463.0,0.69,0.53,1073741800.0,34.0,40.0,2.231,0.052,0.99,0.3,63.902
383.0,4.0,7.0,3.0,451.0,0.69,0.53,1073741800.0,33.0,41.0,2.228,0.054,0.992,0.287,63.773
391.0,4.0,7.0,3.0,445.0,0.68,0.52,1073741800.0,34.0,40.0,2.276,0.05,0.992,0.313,63.683
386.0,3.0,7.0,3.0,468.0,0.68,0.54,1078132500.0,34.0,39.0,0.0,0.053,0.99,0.297,63.531
384.0,3.0,7.0,3.0,467.0,0.69,0.54,1079443200.0,33.0,40.0,0.0,0.053,0.99,0.294,63.037
382.0,4.0,7.0,3.0,469.0,0.68,0.54,1077077900.0,34.0,41.0,0.0,0.053,0.99,0.295,62.908
390.0,4.0,7.0,3.0,448.0,0.69,0.53,1073741800.0,32.0,40.0,2.191,0.055,0.992,0.289,62.901
387.0,4.0,7.0,3.0,440.0,0.69,0.52,1073741800.0,32.0,41.0,2.211,0.056,0.993,0.285,62.697
389.0,4.0,7.0,3.0,477.0,0.68,0.54,1107553800.0,36.0,39.0,0.0,0.052,0.99,0.304,62.209
382.0,3.0,7.0,3.0,480.0,0.69,0.55,1104919300.0,36.0,40.0,0.0,0.05,0.99,0.318,61.97
385.0,4.0,7.0,3.0,454.0,0.69,0.53,1073741800.0,33.0,41.0,2.236,0.054,0.991,0.296,61.598
384.0,4.0,7.0,3.0,444.0,0.69,0.52,1073741800.0,32.0,41.0,2.211,0.057,0.992,0.285,61.325
388.0,4.0,7.0,3.0,466.0,0.69,0.53,1073741800.0,34.0,40.0,2.225,0.053,0.989,0.31,60.549
388.0,3.0,7.0,3.0,479.0,0.68,0.55,1131470800.0,36.0,39.0,0.0,0.051,0.991,0.32,60.317
384.0,3.0,7.0,3.0,441.0,0.69,0.52,1073741800.0,32.0,41.0,2.206,0.056,0.992,0.294,60.276
389.0,4.0,7.0,3.0,446.0,0.68,0.52,1073741800.0,33.0,40.0,2.283,0.052,0.992,0.316,59.886
392.0,4.0,7.0,3.0,465.0,0.68,0.54,1073741800.0,34.0,39.0,2.202,0.054,0.989,0.307,59.837
386.0,4.0,7.0,3.0,469.0,0.69,0.53,1080825700.0,33.0,40.0,0.0,0.055,0.989,0.3,59.813
391.0,4.0,7.0,3.0,450.0,0.69,0.53,1073741800.0,33.0,40.0,2.238,0.052,0.992,0.316,59.726
387.0,4.0,7.0,3.0,442.0,0.69,0.52,1073741800.0,32.0,41.0,2.244,0.056,0.993,0.298,59.282
384.0,4.0,7.0,3.0,465.0,0.68,0.53,1073741800.0,34.0,41.0,2.229,0.054,0.989,0.313,58.424
385.0,4.0,7.0,3.0,441.0,0.69,0.52,1073741800.0,33.0,41.0,2.295,0.053,0.992,0.321,58.32
389.0,3.0,7.0,3.0,434.0,0.69,0.52,1073741800.0,32.0,40.0,4.611,0.053,0.992,0.324,58.174
382.0,4.0,7.0,3.0,460.0,0.69,0.53,1073741800.0,35.0,41.0,2.276,0.051,0.989,0.334,58.134
389.0,4.0,7.0,3.0,480.0,0.69,0.54,1093779000.0,34.0,40.0,0.0,0.053,0.988,0.322,58.025
387.0,4.0,7.0,3.0,432.0,0.69,0.51,1073741800.0,32.0,40.0,2.278,0.053,0.994,0.323,57.559
387.0,4.0,7.0,3.0,440.0,0.69,0.52,1073741800.0,32.0,40.0,4.602,0.054,0.992,0.323,57.355
388.0,3.0,7.0,3.0,471.0,0.68,0.56,1143681000.0,33.0,39.0,0.0,0.056,0.992,0.31,57.27
384.0,3.0,7.0,3.0,460.0,0.69,0.53,1073741800.0,33.0,40.0,4.56,0.054,0.989,0.321,57.178
389.0,4.0,7.0,3.0,466.0,0.68,0.53,1073741800.0,33.0,40.0,2.21,0.055,0.989,0.312,57.141
383.0,3.0,7.0,3.0,472.0,0.69,0.53,1084378400.0,35.0,41.0,0.0,0.053,0.987,0.329,57.021
392.0,3.0,7.0,3.0,474.0,0.68,0.55,1140441100.0,36.0,38.0,0.0,0.055,0.992,0.32,56.857
388.0,4.0,7.0,3.0,480.0,0.68,0.55,1113591300.0,35.0,38.0,0.0,0.051,0.988,0.339,56.806
390.0,4.0,7.0,3.0,465.0,0.69,0.53,1073741800.0,33.0,40.0,2.211,0.056,0.99,0.312,56.675
384.0,4.0,7.0,3.0,455.0,0.69,0.52,1073741800.0,34.0,41.0,2.261,0.054,0.99,0.325,56.619
384.0,4.0,7.0,3.0,481.0,0.68,0.54,1075943000.0,35.0,40.0,0.0,0.051,0.986,0.341,56.548
385.0,4.0,7.0,3.0,455.0,0.69,0.53,1073741800.0,32.0,41.0,2.224,0.057,0.991,0.305,56.502
389.0,4.0,7.0,3.0,477.0,0.68,0.54,1073741800.0,36.0,40.0,2.208,0.053,0.987,0.332,56.139
385.0,4.0,7.0,3.0,441.0,0.69,0.52,1073741800.0,33.0,41.0,2.302,0.053,0.992,0.334,56.041
386.0,4.0,7.0,3.0,448.0,0.68,0.52,1073741800.0,33.0,41.0,2.276,0.054,0.991,0.328,55.951
381.0,3.0,7.0,3.0,480.0,0.69,0.56,1129321500.0,36.0,39.0,0.0,0.054,0.992,0.327,55.784
388.0,4.0,7.0,3.0,464.0,0.69,0.53,1073741800.0,33.0,40.0,2.22,0.055,0.989,0.322,55.706
388.0,4.0,7.0,3.0,430.0,0.69,0.51,1073741800.0,33.0,41.0,2.324,0.052,0.993,0.345,54.944
391.0,4.0,7.0,3.0,442.0,0.68,0.52,1073741800.0,32.0,40.0,2.25,0.055,0.992,0.33,54.941
387.0,4.0,7.0,3.0,465.0,0.68,0.53,1073741800.0,33.0,41.0,2.237,0.057,0.989,0.318,54.94
390.0,4.0,7.0,3.0,450.0,0.69,0.52,1073741800.0,33.0,40.0,2.26,0.054,0.991,0.335,54.681
388.0,3.0,7.0,3.0,439.0,0.69,0.52,1073741800.0,32.0,40.0,4.658,0.054,0.991,0.339,54.668
391.0,3.0,7.0,3.0,425.0,0.69,0.51,1073741800.0,32.0,40.0,4.636,0.053,0.993,0.345,54.596
389.0,4.0,7.0,3.0,452.0,0.69,0.52,1073741800.0,32.0,40.0,2.219,0.057,0.991,0.319,54.429
390.0,4.0,7.0,3.0,424.0,0.69,0.51,1073741800.0,32.0,40.0,4.678,0.052,0.993,0.35,54.201
388.0,4.0,7.0,3.0,456.0,0.69,0.52,1073741800.0,33.0,41.0,2.229,0.057,0.991,0.321,54.15
388.0,4.0,7.0,3.0,438.0,0.69,0.52,1073741800.0,32.0,41.0,4.608,0.055,0.992,0.332,53.871
385.0,4.0,7.0,3.0,457.0,0.69,0.52,1073741800.0,33.0,41.0,2.243,0.057,0.99,0.325,53.551
384.0,4.0,7.0,3.0,486.0,0.69,0.54,1073741800.0,35.0,40.0,2.187,0.053,0.985,0.348,53.459
388.0,3.0,7.0,3.0,434.0,0.7,0.52,1076651500.0,31.0,40.0,2.388,0.056,0.991,0.331,53.131
386.0,4.0,7.0,3.0,440.0,0.7,0.52,1073741800.0,32.0,41.0,4.575,0.057,0.991,0.332,52.608
382.0,4.0,7.0,3.0,440.0,0.69,0.52,1073741800.0,32.0,42.0,2.237,0.059,0.992,0.323,52.172
391.0,4.0,7.0,3.0,420.0,0.69,0.51,1073741800.0,32.0,40.0,4.719,0.052,0.994,0.371,52.0
390.0,4.0,7.0,3.0,432.0,0.68,0.51,1073741800.0,32.0,40.0,4.676,0.054,0.993,0.356,51.87
387.0,4.0,7.0,3.0,449.0,0.69,0.52,1073741800.0,33.0,41.0,4.63,0.055,0.99,0.349,51.576
384.0,4.0,7.0,3.0,467.0,0.68,0.53,1073741800.0,34.0,41.0,2.271,0.055,0.988,0.352,51.499
384.0,4.0,7.0,3.0,441.0,0.69,0.52,1073741800.0,32.0,41.0,2.277,0.056,0.992,0.344,51.471
383.0,3.0,7.0,3.0,474.0,0.68,0.56,1146231400.0,36.0,38.0,0.0,0.056,0.99,0.344,51.403
387.0,4.0,7.0,3.0,442.0,0.69,0.52,1073741800.0,32.0,41.0,2.288,0.056,0.992,0.345,51.28
388.0,4.0,7.0,3.0,433.0,0.69,0.51,1073741800.0,32.0,41.0,4.632,0.056,0.992,0.346,51.243
385.0,4.0,7.0,3.0,444.0,0.7,0.52,1073741800.0,32.0,41.0,4.61,0.058,0.991,0.334,51.081
387.0,4.0,7.0,3.0,423.0,0.69,0.51,1073741800.0,32.0,40.0,4.746,0.051,0.993,0.38,51.004
385.0,3.0,7.0,3.0,474.0,0.68,0.56,1173936400.0,33.0,39.0,0.0,0.059,0.991,0.336,50.108
387.0,4.0,7.0,3.0,451.0,0.69,0.52,1073741800.0,33.0,41.0,2.286,0.056,0.99,0.356,50.052
385.0,3.0,7.0,3.0,451.0,0.69,0.52,1073741800.0,33.0,41.0,4.654,0.055,0.989,0.36,49.713
384.0,4.0,7.0,3.0,443.0,0.69,0.51,1073741800.0,33.0,41.0,2.298,0.056,0.991,0.361,49.486
385.0,4.0,7.0,3.0,494.0,0.69,0.55,1121191600.0,36.0,40.0,0.0,0.052,0.985,0.384,49.421
384.0,4.0,7.0,3.0,459.0,0.69,0.52,1073741800.0,34.0,41.0,2.303,0.055,0.988,0.367,49.15
385.0,4.0,7.0,3.0,445.0,0.69,0.52,1073741800.0,32.0,41.0,2.286,0.057,0.991,0.356,49.076
385.0,4.0,7.0,3.0,435.0,0.69,0.51,1073741800.0,32.0,41.0,4.684,0.056,0.992,0.366,48.283
388.0,4.0,7.0,3.0,473.0,0.69,0.53,1073741800.0,34.0,41.0,2.249,0.057,0.986,0.365,47.798
387.0,4.0,7.0,3.0,435.0,0.69,0.51,1073741800.0,32.0,41.0,4.711,0.056,0.992,0.375,47.033
385.0,4.0,7.0,3.0,495.0,0.69,0.55,1085512100.0,36.0,40.0,0.0,0.055,0.984,0.381,47.02
387.0,4.0,7.0,3.0,450.0,0.69,0.52,1073741800.0,33.0,41.0,2.316,0.055,0.99,0.381,47.009
389.0,4.0,7.0,3.0,447.0,0.69,0.52,1073741800.0,32.0,41.0,2.27,0.058,0.991,0.37,46.265
387.0,4.0,7.0,3.0,423.0,0.69,0.51,1073741800.0,31.0,41.0,4.682,0.056,0.993,0.384,46.048
385.0,4.0,7.0,3.0,438.0,0.69,0.51,1073741800.0,33.0,42.0,4.657,0.057,0.99,0.381,45.928
390.0,4.0,7.0,3.0,453.0,0.69,0.52,1073741800.0,34.0,41.0,4.725,0.054,0.988,0.399,45.902
389.0,3.0,7.0,3.0,432.0,0.69,0.52,1073741800.0,30.0,41.0,4.604,0.06,0.991,0.362,45.812
384.0,4.0,7.0,4.0,486.0,0.68,0.55,1127793700.0,35.0,40.0,0.0,0.06,0.988,0.362,45.568
380.0,4.0,7.0,3.0,493.0,0.68,0.55,1094951200.0,37.0,40.0,0.0,0.057,0.985,0.377,45.549
380.0,3.0,7.0,3.0,494.0,0.68,0.56,1125811300.0,36.0,39.0,0.0,0.057,0.988,0.388,44.338
387.0,3.0,7.0,4.0,474.0,0.69,0.56,1151423000.0,35.0,38.0,0.0,0.066,0.993,0.341,44.081
387.0,3.0,7.0,4.0,477.0,0.69,0.55,1159700900.0,35.0,39.0,0.0,0.063,0.992,0.358,43.815
383.0,3.0,7.0,3.0,480.0,0.68,0.56,1170201900.0,36.0,38.0,0.0,0.06,0.991,0.385,43.239
387.0,4.0,7.0,3.0,433.0,0.69,0.51,1073741800.0,32.0,41.0,4.768,0.056,0.991,0.416,42.789
388.0,4.0,7.0,3.0,455.0,0.69,0.52,1073741800.0,33.0,41.0,2.338,0.057,0.988,0.41,42.501
391.0,4.0,7.0,3.0,438.0,0.69,0.51,1073741800.0,32.0,41.0,4.726,0.058,0.991,0.402,42.467
387.0,4.0,7.0,3.0,439.0,0.69,0.51,1073741800.0,32.0,42.0,4.666,0.06,0.991,0.391,42.439
380.0,3.0,7.0,3.0,505.0,0.68,0.56,1121209600.0,36.0,40.0,0.0,0.057,0.983,0.422,40.764
385.0,4.0,7.0,4.0,484.0,0.68,0.56,1125184500.0,35.0,38.0,0.0,0.066,0.987,0.38,39.474
385.0,3.0,7.0,3.0,496.0,0.69,0.56,1148530200.0,36.0,38.0,0.0,0.062,0.986,0.41,39.071
386.0,4.0,7.0,3.0,431.0,0.69,0.5,1073741800.0,32.0,42.0,2.35,0.059,0.99,0.464,35.965
387.0,4.0,7.0,4.0,499.0,0.69,0.55,1100329200.0,36.0,40.0,0.0,0.067,0.981,0.411,35.927
386.0,4.0,7.0,3.0,429.0,0.7,0.5,1073741800.0,31.0,42.0,4.735,0.063,0.991,0.444,35.355
389.0,4.0,7.0,3.0,429.0,0.7,0.5,1073741800.0,31.0,41.0,4.844,0.061,0.991,0.478,33.768
388.0,4.0,7.0,4.0,503.0,0.68,0.55,1113730300.0,37.0,40.0,0.0,0.069,0.981,0.428,33.272
392.0,3.0,7.0,4.0,472.0,0.69,0.56,1207701600.0,35.0,38.0,0.0,0.072,0.993,0.421,32.787
385.0,3.0,7.0,4.0,489.0,0.68,0.57,1153793300.0,34.0,38.0,0.0,0.074,0.988,0.411,32.439
380.0,4.0,7.0,4.0,507.0,0.68,0.56,1147647600.0,37.0,40.0,0.015,0.075,0.981,0.486,26.944
380.0,3.0,7.0,4.0,497.0,0.68,0.57,1140002700.0,38.0,38.0,0.0,0.081,0.987,0.464,26.183
386.0,4.0,7.0,4.0,503.0,0.69,0.57,1169969300.0,35.0,38.0,0.0,0.076,0.982,0.491,26.177
388.0,3.0,7.0,4.0,507.0,0.68,0.59,1234451700.0,39.0,39.0,0.096,0.095,0.97,0.73,13.962
spark.default.parallelism,spark.executor.cores,spark.executor.instances,spark.executor.memory,spark.executor.memoryOverhead,spark.memory.fraction,spark.memory.storageFraction,spark.reducer.maxBlocksInFlightPerAddress,spark.reducer.maxSizeInFlight,spark.shuffle.file.buffer,range,dissimilarity_value,cos_distance,Euclidean_distance,distance
497.0,2.0,5.0,5.0,838.0,0.55,0.68,2014829800.0,42.0,46.0,0.0,0.034,0.998,0.121,244.604
500.0,2.0,5.0,5.0,845.0,0.55,0.68,2001795600.0,43.0,46.0,0.011,0.035,0.998,0.132,214.457
500.0,2.0,5.0,5.0,863.0,0.54,0.68,2006162300.0,42.0,47.0,0.002,0.036,0.998,0.141,199.219
500.0,2.0,5.0,5.0,858.0,0.55,0.68,1993225600.0,43.0,46.0,0.038,0.034,0.997,0.149,197.325
500.0,3.0,5.0,5.0,862.0,0.55,0.68,2040785200.0,41.0,46.0,0.079,0.038,0.998,0.135,195.199
500.0,2.0,5.0,5.0,862.0,0.54,0.68,2026694900.0,42.0,47.0,0.087,0.034,0.998,0.156,185.914
500.0,2.0,5.0,5.0,842.0,0.54,0.68,2049090800.0,42.0,47.0,0.062,0.037,0.998,0.155,175.79
