spark.memory.storageFraction,spark.executor.cores,spark.executor.memory,spark.executor.instances,spark.memory.fraction,spark.shuffle.file.buffer,spark.reducer.maxBlocksInFlightPerAddress,spark.default.parallelism,spark.reducer.maxSizeInFlight,spark.executor.memoryOverhead,range,dissimilarity_value,cos_distance,Euclidean_distance,distance
0.57,2.0,6.0,6.0,0.75,45.0,1854969100.0,361.0,55.0,650.0,0.006,0.012,0.987,0.243,330.651
0.59,2.0,6.0,6.0,0.76,46.0,1877182300.0,382.0,56.0,642.0,0.04,0.016,0.991,0.197,317.683
0.56,2.0,6.0,6.0,0.77,47.0,1888646300.0,372.0,56.0,644.0,0.009,0.013,0.99,0.246,305.34
0.58,2.0,6.0,6.0,0.73,46.0,1880333700.0,351.0,54.0,652.0,0.048,0.015,0.989,0.23,293.726
0.6,2.0,6.0,6.0,0.73,46.0,1892542600.0,358.0,54.0,649.0,0.013,0.015,0.992,0.22,292.89
0.57,2.0,6.0,6.0,0.76,45.0,1864915000.0,368.0,54.0,654.0,0.01,0.014,0.988,0.239,291.632
0.59,2.0,6.0,6.0,0.74,45.0,1849214100.0,363.0,55.0,643.0,0.015,0.014,0.992,0.236,290.692
0.56,2.0,6.0,6.0,0.76,48.0,1963045900.0,378.0,56.0,651.0,0.105,0.013,0.997,0.274,285.6
0.57,2.0,6.0,6.0,0.76,46.0,1879814400.0,384.0,56.0,652.0,0.015,0.015,0.988,0.227,284.199
0.58,2.0,6.0,6.0,0.74,46.0,1837553900.0,355.0,55.0,655.0,0.028,0.013,0.984,0.267,281.683
0.57,2.0,6.0,6.0,0.77,46.0,1851574300.0,374.0,55.0,645.0,0.008,0.014,0.986,0.249,281.286
0.57,2.0,6.0,6.0,0.77,46.0,1851628500.0,376.0,55.0,647.0,0.01,0.014,0.985,0.255,270.083
0.57,2.0,6.0,6.0,0.76,45.0,1846083200.0,361.0,55.0,642.0,0.037,0.015,0.986,0.246,262.175
0.59,2.0,6.0,6.0,0.74,45.0,1866830000.0,358.0,55.0,643.0,0.016,0.015,0.987,0.253,261.997
0.59,2.0,6.0,6.0,0.74,45.0,1844107800.0,360.0,55.0,644.0,0.011,0.015,0.994,0.253,255.786
0.57,2.0,6.0,6.0,0.76,45.0,1838518000.0,370.0,55.0,651.0,0.017,0.014,0.982,0.279,254.756
0.57,2.0,6.0,6.0,0.77,46.0,1878478700.0,387.0,55.0,644.0,0.003,0.016,0.987,0.24,251.284
0.57,2.0,6.0,6.0,0.77,48.0,1979989200.0,381.0,55.0,643.0,0.116,0.013,0.996,0.304,248.928
0.58,2.0,6.0,6.0,0.75,44.0,1825755600.0,364.0,55.0,652.0,0.003,0.014,0.987,0.298,241.819
0.57,2.0,6.0,6.0,0.78,47.0,1889253500.0,389.0,55.0,645.0,0.005,0.015,0.986,0.266,240.858
0.57,2.0,6.0,6.0,0.77,48.0,1980366100.0,382.0,55.0,649.0,0.169,0.013,0.995,0.336,236.393
0.56,2.0,6.0,6.0,0.77,48.0,1929392000.0,380.0,56.0,641.0,0.08,0.016,0.994,0.269,232.94
0.59,2.0,6.0,6.0,0.73,45.0,1864863900.0,359.0,54.0,652.0,0.03,0.017,0.991,0.25,231.649
0.59,2.0,6.0,6.0,0.75,44.0,1833083400.0,371.0,55.0,646.0,0.03,0.016,0.99,0.278,227.654
0.6,2.0,6.0,6.0,0.73,46.0,1898829600.0,361.0,54.0,660.0,0.003,0.016,0.984,0.277,227.164
0.58,2.0,6.0,6.0,0.75,43.0,1854882300.0,366.0,55.0,655.0,0.015,0.014,0.982,0.308,223.796
0.57,2.0,6.0,6.0,0.76,45.0,1834275600.0,372.0,55.0,647.0,0.011,0.015,0.979,0.302,218.121
0.58,2.0,6.0,6.0,0.76,44.0,1815764200.0,369.0,55.0,647.0,0.02,0.015,0.984,0.301,212.24
0.56,2.0,6.0,6.0,0.77,48.0,1907969500.0,386.0,56.0,655.0,0.012,0.018,0.99,0.264,208.554
0.57,2.0,6.0,6.0,0.75,44.0,1825395700.0,361.0,55.0,649.0,0.058,0.016,0.983,0.307,199.208
0.58,2.0,6.0,6.0,0.76,44.0,1837542900.0,374.0,55.0,655.0,0.013,0.016,0.981,0.309,198.946
0.59,2.0,6.0,6.0,0.76,45.0,1816934300.0,371.0,56.0,651.0,0.022,0.017,0.986,0.292,198.488
0.55,2.0,6.0,6.0,0.77,48.0,1944940200.0,378.0,56.0,653.0,0.077,0.015,0.993,0.329,197.191
0.58,2.0,6.0,6.0,0.74,44.0,1827302100.0,356.0,55.0,643.0,0.002,0.018,0.983,0.304,180.919
0.59,2.0,6.0,6.0,0.74,44.0,1839408100.0,358.0,54.0,648.0,0.022,0.02,0.991,0.281,180.819
0.56,2.0,6.0,6.0,0.77,48.0,1982099100.0,379.0,56.0,646.0,0.182,0.016,0.996,0.349,180.5
0.59,2.0,6.0,6.0,0.75,44.0,1805978400.0,367.0,55.0,647.0,0.014,0.016,0.987,0.35,178.688
0.59,2.0,6.0,6.0,0.74,45.0,1829802800.0,353.0,55.0,641.0,0.03,0.018,0.987,0.3,177.793
0.59,2.0,6.0,6.0,0.74,44.0,1829301200.0,356.0,55.0,650.0,0.023,0.018,0.99,0.305,176.086
0.57,2.0,6.0,6.0,0.77,48.0,1995313700.0,379.0,56.0,648.0,0.263,0.014,0.995,0.395,174.599
0.56,2.0,6.0,6.0,0.78,48.0,1944174500.0,390.0,56.0,642.0,0.145,0.019,0.992,0.328,159.405
0.59,2.0,6.0,6.0,0.74,43.0,1828868200.0,369.0,55.0,645.0,0.005,0.019,0.991,0.331,158.437
0.59,2.0,6.0,6.0,0.74,43.0,1863610100.0,374.0,54.0,652.0,0.003,0.02,0.988,0.318,156.81
0.59,2.0,6.0,6.0,0.76,44.0,1825925900.0,379.0,55.0,647.0,0.001,0.019,0.984,0.332,152.969
0.56,2.0,6.0,6.0,0.78,48.0,1915168000.0,391.0,56.0,652.0,0.007,0.02,0.985,0.325,152.86
0.59,2.0,6.0,6.0,0.74,44.0,1804147700.0,357.0,55.0,654.0,0.022,0.02,0.978,0.345,141.122
0.58,2.0,6.0,6.0,0.76,43.0,1804104600.0,371.0,55.0,646.0,0.0,0.019,0.974,0.383,135.075
0.6,2.0,6.0,6.0,0.73,45.0,1831633900.0,349.0,54.0,642.0,0.02,0.024,0.986,0.314,129.712
0.59,2.0,6.0,6.0,0.76,43.0,1823813100.0,379.0,55.0,644.0,0.011,0.022,0.986,0.348,128.588
0.58,2.0,6.0,6.0,0.76,43.0,1793753200.0,372.0,55.0,645.0,0.011,0.02,0.977,0.392,125.958
0.57,2.0,6.0,6.0,0.76,43.0,1831446700.0,374.0,54.0,652.0,0.014,0.021,0.973,0.366,123.59
0.6,2.0,6.0,6.0,0.74,44.0,1805268400.0,355.0,55.0,658.0,0.026,0.023,0.985,0.353,121.686
0.59,2.0,6.0,6.0,0.75,43.0,1783664800.0,365.0,56.0,652.0,0.003,0.021,0.978,0.383,120.079
0.56,2.0,6.0,6.0,0.78,48.0,1989635100.0,387.0,56.0,640.0,0.208,0.021,0.993,0.401,120.037
0.58,2.0,6.0,6.0,0.76,43.0,1788484900.0,372.0,55.0,646.0,0.016,0.02,0.972,0.41,119.066
0.6,2.0,6.0,6.0,0.74,44.0,1792666100.0,359.0,55.0,648.0,0.038,0.022,0.983,0.384,118.86
0.58,2.0,6.0,6.0,0.76,43.0,1781440800.0,366.0,55.0,645.0,0.013,0.019,0.964,0.422,118.168
0.56,2.0,6.0,6.0,0.78,48.0,1991494100.0,384.0,56.0,645.0,0.262,0.019,0.996,0.441,118.105
0.6,2.0,6.0,6.0,0.72,45.0,1829483000.0,352.0,54.0,648.0,0.023,0.024,0.986,0.365,112.976
0.6,2.0,6.0,6.0,0.74,44.0,1784394800.0,360.0,56.0,647.0,0.041,0.024,0.978,0.37,111.664
0.59,2.0,6.0,6.0,0.74,43.0,1784877400.0,361.0,55.0,654.0,0.028,0.022,0.977,0.4,110.459
0.58,2.0,6.0,6.0,0.75,42.0,1774303000.0,364.0,55.0,648.0,0.013,0.021,0.975,0.437,108.259
0.6,2.0,6.0,6.0,0.73,44.0,1799913100.0,353.0,55.0,648.0,0.02,0.024,0.982,0.388,104.966
0.58,2.0,6.0,6.0,0.75,42.0,1786602400.0,365.0,54.0,644.0,0.02,0.022,0.976,0.424,104.221
0.59,2.0,6.0,6.0,0.74,43.0,1801437600.0,352.0,54.0,651.0,0.003,0.025,0.977,0.379,102.857
0.6,2.0,6.0,6.0,0.74,43.0,1791162400.0,355.0,55.0,648.0,0.025,0.025,0.983,0.389,101.769
0.58,2.0,6.0,6.0,0.75,42.0,1781348000.0,371.0,55.0,645.0,0.005,0.021,0.968,0.456,101.298
0.58,2.0,6.0,6.0,0.76,42.0,1781446300.0,374.0,55.0,652.0,0.018,0.023,0.965,0.437,97.506
0.59,2.0,6.0,6.0,0.74,43.0,1778869000.0,354.0,55.0,651.0,0.016,0.024,0.976,0.422,96.986
0.58,2.0,6.0,6.0,0.74,42.0,1784378400.0,356.0,55.0,655.0,0.03,0.024,0.969,0.437,92.166
0.6,2.0,6.0,6.0,0.75,42.0,1770997600.0,367.0,55.0,646.0,0.013,0.024,0.975,0.457,89.914
0.59,2.0,6.0,6.0,0.75,43.0,1748805900.0,362.0,56.0,652.0,0.024,0.024,0.963,0.468,86.326
0.58,2.0,6.0,6.0,0.76,42.0,1759433000.0,362.0,55.0,652.0,0.03,0.023,0.958,0.48,85.964
0.59,2.0,6.0,6.0,0.74,42.0,1795635600.0,354.0,54.0,649.0,0.007,0.027,0.977,0.43,84.361
0.6,2.0,6.0,6.0,0.73,43.0,1782502800.0,353.0,55.0,651.0,0.024,0.027,0.979,0.435,83.375
0.6,2.0,6.0,6.0,0.72,44.0,1818806000.0,352.0,54.0,662.0,0.056,0.028,0.978,0.423,82.208
0.6,2.0,6.0,6.0,0.73,42.0,1801686800.0,354.0,55.0,651.0,0.041,0.028,0.976,0.449,78.058
0.61,2.0,6.0,6.0,0.72,44.0,1815619600.0,343.0,54.0,652.0,0.001,0.031,0.978,0.421,75.018
0.6,2.0,6.0,6.0,0.74,43.0,1747885000.0,358.0,55.0,661.0,0.089,0.028,0.959,0.48,72.347
0.6,2.0,6.0,6.0,0.75,41.0,1775650600.0,363.0,54.0,650.0,0.009,0.028,0.974,0.498,70.187
0.59,2.0,6.0,6.0,0.74,41.0,1760310500.0,364.0,55.0,648.0,0.019,0.026,0.965,0.524,69.551
0.6,2.0,6.0,6.0,0.73,43.0,1764768300.0,354.0,55.0,656.0,0.03,0.028,0.98,0.497,69.34
0.61,2.0,6.0,6.0,0.73,43.0,1762256600.0,348.0,55.0,648.0,0.013,0.031,0.977,0.5,62.414
0.57,2.0,6.0,6.0,0.75,40.0,1740740600.0,367.0,55.0,651.0,0.011,0.027,0.937,0.564,60.878
0.6,2.0,6.0,6.0,0.74,42.0,1739820300.0,353.0,55.0,653.0,0.023,0.03,0.965,0.537,59.312
0.6,2.0,6.0,6.0,0.73,42.0,1750893400.0,351.0,55.0,653.0,0.034,0.032,0.97,0.531,57.79
0.59,2.0,6.0,6.0,0.73,41.0,1744329600.0,358.0,55.0,651.0,0.02,0.03,0.956,0.555,57.19
0.6,2.0,6.0,6.0,0.73,42.0,1735182100.0,355.0,56.0,652.0,0.027,0.033,0.961,0.526,55.398
0.6,2.0,6.0,6.0,0.73,41.0,1762504200.0,362.0,54.0,650.0,0.014,0.031,0.981,0.579,53.749
0.58,2.0,6.0,6.0,0.73,41.0,1736436000.0,347.0,55.0,648.0,0.065,0.032,0.95,0.555,53.583
0.6,2.0,6.0,6.0,0.74,40.0,1748614100.0,359.0,55.0,647.0,0.02,0.032,0.964,0.579,51.269
0.6,2.0,6.0,6.0,0.73,42.0,1734413300.0,343.0,55.0,653.0,0.043,0.035,0.955,0.555,49.633
0.59,2.0,6.0,6.0,0.74,40.0,1727418900.0,356.0,55.0,646.0,0.028,0.033,0.945,0.604,47.726
0.61,2.0,6.0,6.0,0.74,41.0,1721993600.0,356.0,55.0,652.0,0.041,0.034,0.962,0.619,45.634
0.62,2.0,6.0,6.0,0.71,43.0,1790244100.0,342.0,54.0,648.0,0.005,0.038,0.96,0.577,44.147
0.61,2.0,6.0,6.0,0.72,41.0,1747530500.0,345.0,55.0,651.0,0.022,0.038,0.956,0.613,40.751
0.61,2.0,6.0,6.0,0.73,41.0,1728303100.0,349.0,55.0,651.0,0.013,0.037,0.966,0.651,40.269
0.61,2.0,6.0,6.0,0.74,40.0,1708383700.0,359.0,55.0,652.0,0.02,0.036,0.952,0.66,39.915
0.61,2.0,6.0,6.0,0.72,40.0,1733833000.0,346.0,55.0,645.0,0.014,0.041,0.961,0.638,36.325
0.61,2.0,6.0,6.0,0.72,41.0,1703930900.0,341.0,55.0,649.0,0.011,0.042,0.935,0.668,33.623
0.59,2.0,6.0,6.0,0.74,39.0,1690189700.0,359.0,54.0,648.0,0.017,0.038,0.917,0.735,33.228
0.6,2.0,6.0,6.0,0.74,38.0,1690804700.0,358.0,55.0,652.0,0.015,0.04,0.918,0.746,30.929
0.6,2.0,6.0,6.0,0.73,39.0,1670257900.0,347.0,55.0,650.0,0.026,0.043,0.914,0.757,28.248
0.59,2.0,6.0,6.0,0.74,38.0,1667710600.0,354.0,55.0,655.0,0.01,0.041,0.887,0.785,27.669
0.61,2.0,6.0,6.0,0.73,40.0,1662942100.0,348.0,56.0,652.0,0.078,0.045,0.904,0.75,27.03
0.61,2.0,6.0,6.0,0.71,38.0,1679184800.0,336.0,55.0,653.0,0.026,0.052,0.901,0.838,20.581
0.61,2.0,6.0,6.0,0.72,38.0,1665172100.0,337.0,55.0,648.0,0.014,0.051,0.884,0.86,20.052
0.61,2.0,6.0,6.0,0.72,37.0,1627334000.0,336.0,55.0,649.0,0.039,0.055,0.823,0.929,15.989
0.63,2.0,6.0,6.0,0.71,36.0,1619739900.0,352.0,55.0,656.0,0.021,0.059,0.836,0.994,14.216
spark.memory.storageFraction,spark.executor.cores,spark.executor.memory,spark.executor.instances,spark.memory.fraction,spark.shuffle.file.buffer,spark.reducer.maxBlocksInFlightPerAddress,spark.default.parallelism,spark.reducer.maxSizeInFlight,spark.executor.memoryOverhead,range,dissimilarity_value,cos_distance,Euclidean_distance,distance
0.66,3.0,4.0,7.0,0.7,44.0,1197346200.0,296.0,44.0,453.0,0.0,0.006,0.995,0.162,1067.376
0.66,3.0,4.0,7.0,0.71,45.0,1165426800.0,295.0,43.0,446.0,0.0,0.008,0.997,0.133,963.08
0.65,3.0,4.0,7.0,0.7,44.0,1180135000.0,297.0,44.0,458.0,0.0,0.007,0.996,0.159,948.185
0.66,3.0,4.0,7.0,0.71,44.0,1160463900.0,297.0,43.0,456.0,0.0,0.007,0.995,0.16,856.961
0.66,3.0,4.0,7.0,0.7,44.0,1190453600.0,296.0,44.0,467.0,0.0,0.008,0.997,0.142,842.968
0.66,3.0,4.0,7.0,0.7,44.0,1218269600.0,298.0,44.0,452.0,0.0,0.007,0.994,0.184,811.262
0.66,3.0,4.0,7.0,0.7,44.0,1201751800.0,293.0,44.0,454.0,0.0,0.007,0.995,0.169,799.759
0.66,3.0,4.0,7.0,0.7,44.0,1211757700.0,301.0,43.0,449.0,0.0,0.007,0.994,0.171,789.954
0.66,3.0,4.0,7.0,0.7,44.0,1196421200.0,299.0,43.0,435.0,0.0,0.008,0.995,0.162,783.039
0.66,3.0,4.0,7.0,0.72,45.0,1162588200.0,296.0,44.0,455.0,0.0,0.009,0.996,0.149,778.08
0.66,3.0,4.0,7.0,0.7,44.0,1212846500.0,300.0,43.0,447.0,0.0,0.007,0.993,0.198,750.237
0.66,3.0,4.0,7.0,0.7,44.0,1204149400.0,297.0,44.0,458.0,0.0,0.007,0.993,0.187,743.804
0.66,3.0,4.0,7.0,0.71,45.0,1173374300.0,297.0,43.0,446.0,0.0,0.008,0.995,0.176,726.014
0.65,3.0,4.0,7.0,0.7,44.0,1195298200.0,296.0,43.0,450.0,0.0,0.009,0.995,0.162,707.205
0.66,3.0,4.0,7.0,0.71,46.0,1180896100.0,294.0,44.0,446.0,0.0,0.009,0.996,0.151,699.376
0.66,3.0,4.0,7.0,0.71,45.0,1171320200.0,298.0,43.0,443.0,0.0,0.008,0.995,0.179,699.062
0.66,3.0,4.0,7.0,0.7,45.0,1208395100.0,296.0,44.0,451.0,0.0,0.009,0.994,0.169,688.103
0.66,3.0,4.0,7.0,0.7,44.0,1206375600.0,296.0,43.0,443.0,0.0,0.008,0.994,0.184,683.466
0.66,3.0,4.0,7.0,0.71,45.0,1175146200.0,295.0,43.0,452.0,0.0,0.01,0.996,0.148,677.023
0.66,3.0,4.0,7.0,0.7,45.0,1201816800.0,299.0,44.0,441.0,0.0,0.007,0.992,0.211,675.707
0.66,3.0,4.0,7.0,0.7,44.0,1187277200.0,300.0,42.0,448.0,0.0,0.007,0.992,0.217,652.945
0.66,3.0,4.0,7.0,0.71,44.0,1195398100.0,299.0,43.0,455.0,0.0,0.009,0.994,0.178,638.605
0.66,3.0,4.0,7.0,0.7,45.0,1177277600.0,295.0,43.0,455.0,0.0,0.009,0.995,0.167,637.554
0.65,3.0,4.0,7.0,0.71,45.0,1175515800.0,299.0,43.0,442.0,0.0,0.01,0.995,0.161,635.668
0.65,3.0,4.0,7.0,0.71,45.0,1175923000.0,297.0,43.0,446.0,0.0,0.01,0.995,0.172,607.714
0.66,3.0,4.0,7.0,0.7,45.0,1183513900.0,297.0,43.0,439.0,0.0,0.009,0.995,0.188,601.913
0.66,3.0,4.0,7.0,0.7,46.0,1175361000.0,299.0,44.0,445.0,0.0,0.006,0.992,0.274,595.967
0.66,3.0,4.0,7.0,0.7,43.0,1204594200.0,297.0,44.0,458.0,0.0,0.009,0.996,0.18,584.103
0.65,3.0,4.0,7.0,0.71,45.0,1184281200.0,295.0,43.0,446.0,0.0,0.011,0.995,0.163,559.859
0.66,3.0,4.0,7.0,0.71,46.0,1163259600.0,295.0,44.0,456.0,0.0,0.01,0.995,0.183,547.768
0.66,3.0,4.0,7.0,0.71,45.0,1181707900.0,295.0,43.0,442.0,0.0,0.01,0.995,0.181,545.144
0.66,3.0,4.0,7.0,0.71,45.0,1147523500.0,294.0,43.0,443.0,0.0,0.01,0.996,0.185,536.395
0.66,3.0,4.0,7.0,0.72,44.0,1152150900.0,296.0,43.0,459.0,0.0,0.01,0.994,0.18,532.076
0.66,3.0,4.0,7.0,0.71,44.0,1200105000.0,297.0,43.0,459.0,0.0,0.011,0.994,0.174,531.945
0.66,3.0,4.0,7.0,0.7,43.0,1201715600.0,297.0,43.0,453.0,0.0,0.01,0.994,0.181,531.711
0.66,3.0,4.0,7.0,0.7,44.0,1222567700.0,301.0,43.0,443.0,0.0,0.008,0.99,0.225,529.041
0.66,3.0,4.0,7.0,0.7,45.0,1175052300.0,296.0,42.0,443.0,0.0,0.01,0.995,0.193,527.935
0.67,3.0,4.0,7.0,0.7,44.0,1209313200.0,295.0,44.0,464.0,0.0,0.011,0.995,0.171,524.58
0.66,3.0,4.0,7.0,0.7,45.0,1209115800.0,295.0,45.0,449.0,0.0,0.011,0.994,0.177,522.337
0.66,3.0,4.0,7.0,0.7,44.0,1209240000.0,296.0,43.0,456.0,0.0,0.01,0.993,0.195,521.992
0.66,3.0,4.0,7.0,0.7,46.0,1200700400.0,300.0,44.0,438.0,0.0,0.009,0.994,0.203,516.655
0.65,3.0,4.0,7.0,0.71,46.0,1157936500.0,295.0,43.0,440.0,0.0,0.013,0.997,0.146,512.748
0.66,3.0,4.0,7.0,0.7,44.0,1224318000.0,298.0,43.0,443.0,0.0,0.009,0.991,0.224,503.351
0.66,3.0,4.0,7.0,0.7,44.0,1233965000.0,299.0,45.0,444.0,0.0,0.009,0.991,0.225,486.634
0.66,3.0,4.0,7.0,0.71,44.0,1219944400.0,303.0,43.0,451.0,0.0,0.011,0.993,0.195,479.519
0.66,3.0,4.0,7.0,0.72,45.0,1157116300.0,294.0,43.0,458.0,0.0,0.013,0.995,0.166,473.057
0.66,3.0,4.0,7.0,0.7,47.0,1171178000.0,295.0,44.0,446.0,0.0,0.009,0.994,0.231,472.44
0.65,3.0,4.0,7.0,0.71,44.0,1197782000.0,299.0,42.0,443.0,0.0,0.011,0.993,0.186,468.265
0.66,3.0,4.0,7.0,0.7,46.0,1192633000.0,300.0,45.0,445.0,0.0,0.01,0.992,0.223,467.517
0.66,3.0,4.0,7.0,0.69,45.0,1220435200.0,298.0,44.0,453.0,0.0,0.011,0.992,0.198,463.582
0.66,3.0,4.0,7.0,0.7,46.0,1191811500.0,296.0,45.0,451.0,0.0,0.012,0.994,0.186,458.728
0.66,3.0,4.0,7.0,0.7,43.0,1213219600.0,294.0,44.0,461.0,0.0,0.012,0.996,0.186,451.865
0.66,3.0,4.0,7.0,0.71,45.0,1165757200.0,297.0,42.0,445.0,0.0,0.01,0.994,0.231,447.655
0.66,3.0,4.0,7.0,0.71,45.0,1188986800.0,297.0,45.0,453.0,0.0,0.011,0.992,0.208,446.985
0.66,3.0,4.0,7.0,0.71,43.0,1215845400.0,298.0,44.0,457.0,0.0,0.011,0.995,0.197,446.787
0.66,3.0,4.0,7.0,0.71,45.0,1173428700.0,297.0,42.0,438.0,0.0,0.012,0.995,0.189,443.622
0.66,3.0,4.0,7.0,0.7,44.0,1186881300.0,293.0,43.0,470.0,0.0,0.012,0.994,0.188,442.768
0.66,3.0,4.0,7.0,0.7,44.0,1216252400.0,300.0,43.0,469.0,0.0,0.012,0.994,0.188,442.763
0.65,3.0,4.0,7.0,0.71,43.0,1187429000.0,297.0,43.0,454.0,0.0,0.012,0.996,0.186,436.17
0.66,3.0,4.0,7.0,0.71,43.0,1172327300.0,295.0,42.0,457.0,0.0,0.013,0.994,0.175,434.369
0.67,3.0,4.0,7.0,0.7,44.0,1207380900.0,302.0,44.0,473.0,0.0,0.012,0.994,0.192,432.923
0.66,3.0,4.0,7.0,0.71,44.0,1192419200.0,295.0,43.0,463.0,0.0,0.012,0.993,0.198,432.476
0.65,3.0,4.0,7.0,0.72,44.0,1151396000.0,294.0,42.0,451.0,0.0,0.013,0.994,0.183,414.425
0.66,3.0,4.0,7.0,0.71,45.0,1201056500.0,295.0,45.0,459.0,0.0,0.014,0.994,0.176,410.363
0.66,3.0,4.0,7.0,0.71,44.0,1195404200.0,296.0,43.0,463.0,0.0,0.012,0.992,0.21,408.712
0.65,3.0,4.0,7.0,0.71,45.0,1161980500.0,299.0,42.0,436.0,0.0,0.013,0.995,0.195,408.186
0.66,3.0,4.0,7.0,0.7,46.0,1187025400.0,302.0,43.0,437.0,0.0,0.011,0.994,0.212,407.76
0.66,3.0,4.0,7.0,0.7,45.0,1202650000.0,293.0,45.0,457.0,0.0,0.013,0.993,0.195,403.01
0.66,3.0,4.0,7.0,0.7,44.0,1185422700.0,294.0,43.0,472.0,0.0,0.012,0.992,0.211,394.364
0.67,3.0,4.0,7.0,0.7,43.0,1218516000.0,296.0,44.0,459.0,0.0,0.013,0.993,0.199,392.926
0.66,3.0,4.0,7.0,0.7,43.0,1230379800.0,299.0,43.0,449.0,0.0,0.011,0.991,0.225,392.002
0.65,3.0,4.0,7.0,0.7,43.0,1199947000.0,297.0,43.0,460.0,0.0,0.013,0.994,0.191,391.542
0.65,3.0,4.0,7.0,0.71,44.0,1200430300.0,302.0,42.0,450.0,0.0,0.012,0.992,0.21,388.134
0.66,3.0,4.0,7.0,0.7,46.0,1168229600.0,299.0,42.0,450.0,0.0,0.011,0.993,0.241,384.874
0.66,3.0,4.0,7.0,0.69,44.0,1225215700.0,301.0,43.0,436.0,0.0,0.012,0.991,0.224,382.589
0.66,3.0,4.0,7.0,0.69,43.0,1207703900.0,295.0,45.0,462.0,0.0,0.015,0.995,0.174,381.918
0.66,3.0,4.0,7.0,0.7,46.0,1179958500.0,297.0,45.0,450.0,0.0,0.01,0.991,0.257,381.892
0.66,3.0,4.0,7.0,0.71,43.0,1186655900.0,297.0,42.0,456.0,0.0,0.013,0.992,0.199,371.807
0.65,3.0,4.0,7.0,0.7,46.0,1162401500.0,297.0,44.0,435.0,0.0,0.01,0.993,0.286,359.503
0.66,3.0,4.0,7.0,0.7,46.0,1186312000.0,294.0,45.0,447.0,0.0,0.011,0.992,0.253,357.789
0.66,3.0,4.0,7.0,0.71,46.0,1162322000.0,296.0,45.0,445.0,0.0,0.01,0.992,0.28,356.38
0.66,3.0,4.0,7.0,0.71,46.0,1172561900.0,301.0,43.0,431.0,0.0,0.013,0.995,0.221,355.459
0.66,3.0,4.0,7.0,0.71,45.0,1181413100.0,297.0,45.0,467.0,0.0,0.013,0.991,0.214,351.286
0.66,3.0,4.0,7.0,0.71,46.0,1163733800.0,297.0,43.0,437.0,0.0,0.011,0.994,0.251,350.332
0.67,3.0,4.0,7.0,0.69,43.0,1223590400.0,295.0,44.0,455.0,0.0,0.014,0.992,0.203,347.897
0.66,3.0,4.0,7.0,0.7,43.0,1229170200.0,299.0,44.0,468.0,0.0,0.013,0.993,0.219,344.702
0.66,3.0,4.0,7.0,0.71,47.0,1161127700.0,296.0,44.0,443.0,0.0,0.011,0.992,0.281,336.752
0.66,3.0,4.0,7.0,0.71,46.0,1155346800.0,292.0,45.0,463.0,0.0,0.015,0.994,0.193,332.941
0.66,3.0,4.0,7.0,0.71,46.0,1156836000.0,297.0,43.0,441.0,0.0,0.011,0.993,0.278,324.79
0.67,3.0,4.0,7.0,0.69,45.0,1215390000.0,302.0,44.0,438.0,0.0,0.012,0.989,0.253,322.804
0.65,3.0,4.0,7.0,0.71,46.0,1186258700.0,294.0,44.0,451.0,0.0,0.013,0.991,0.25,317.056
0.66,3.0,4.0,7.0,0.71,46.0,1158820000.0,302.0,43.0,431.0,0.0,0.013,0.994,0.246,317.05
0.65,3.0,4.0,7.0,0.71,46.0,1152024300.0,292.0,44.0,460.0,0.0,0.014,0.992,0.223,310.088
0.66,3.0,4.0,7.0,0.71,46.0,1154868900.0,298.0,42.0,435.0,0.0,0.014,0.995,0.229,300.293
0.67,3.0,4.0,7.0,0.7,44.0,1232046600.0,299.0,45.0,465.0,0.0,0.014,0.99,0.233,299.216
0.65,3.0,4.0,7.0,0.71,46.0,1132629000.0,295.0,43.0,446.0,0.0,0.014,0.995,0.243,290.529
0.65,3.0,4.0,7.0,0.71,46.0,1157335000.0,293.0,43.0,451.0,0.0,0.014,0.993,0.25,287.86
0.65,3.0,4.0,7.0,0.7,44.0,1193591000.0,299.0,44.0,487.0,0.0,0.014,0.989,0.254,287.166
0.66,3.0,4.0,7.0,0.7,44.0,1223148200.0,294.0,45.0,472.0,0.0,0.015,0.991,0.227,287.043
0.66,3.0,4.0,7.0,0.7,43.0,1228269800.0,295.0,45.0,467.0,0.0,0.016,0.994,0.219,275.948
0.65,3.0,4.0,7.0,0.71,43.0,1167643100.0,299.0,41.0,450.0,0.0,0.014,0.987,0.265,274.249
0.66,3.0,4.0,7.0,0.7,43.0,1243954200.0,303.0,43.0,457.0,0.0,0.015,0.99,0.248,268.822
0.67,3.0,4.0,7.0,0.71,43.0,1202632800.0,298.0,43.0,473.0,0.0,0.018,0.992,0.214,264.063
0.66,3.0,4.0,7.0,0.7,42.0,1206739700.0,294.0,43.0,465.0,0.0,0.017,0.995,0.225,263.626
0.65,3.0,4.0,7.0,0.71,43.0,1217005000.0,297.0,44.0,466.0,0.0,0.015,0.993,0.248,262.279
0.66,3.0,4.0,7.0,0.69,43.0,1246388900.0,298.0,44.0,464.0,0.0,0.015,0.992,0.246,260.098
0.66,3.0,4.0,7.0,0.7,44.0,1227998800.0,292.0,46.0,462.0,0.0,0.016,0.993,0.24,253.834
0.65,3.0,4.0,7.0,0.71,46.0,1146150700.0,296.0,43.0,432.0,0.0,0.016,0.996,0.25,253.016
